# Calibrator v0.9e
# (by Stefan.Manegold@cwi.nl, http://www.cwi.nl/~manegold/)
000000003 033333.3  032772 000096.0 00024 000255 002.5 000.0  016388 000048.0 00012 000255 002.5 000.0  008196 000024.0 00006 000255 002.5 000.0  004100 000012.0 00003 000255 002.5 000.0  002052 000006.0 00001 000255 002.5 000.0  001028 000003.0 00000 000255 002.5 000.0
000000004 025000.0  032772 000128.0 00032 000255 002.5 000.0  016388 000064.0 00016 000255 002.5 000.0  008196 000032.0 00008 000255 002.5 000.0  004100 000016.0 00004 000255 002.5 000.0  002052 000008.0 00002 000255 002.5 000.0  001028 000004.0 00001 000255 002.5 000.0
000000005 020000.0  032772 000160.0 00040 000255 002.5 000.0  016388 000080.0 00020 000255 002.5 000.0  008196 000040.0 00010 000255 002.5 000.0  004100 000020.0 00005 000255 002.5 000.0  002052 000010.0 00002 000255 002.5 000.0  001028 000005.0 00001 000255 002.5 000.0
000000006 016666.7  032772 000192.0 00048 000255 002.5 000.0  016388 000096.0 00024 000255 002.5 000.0  008196 000048.0 00012 000692 006.9 000.0  004100 000024.0 00006 000255 002.5 000.0  002052 000012.0 00003 000255 002.5 000.0  001028 000006.0 00001 000255 002.5 000.0
000000008 012500.0  032772 000256.0 00064 000485 004.8 000.0  016388 000128.0 00032 000623 006.2 000.0  008196 000064.0 00016 001936 019.4 000.0  004100 000032.0 00008 000590 005.9 000.0  002052 000016.0 00004 000255 002.5 000.0  001028 000008.0 00002 000255 002.5 000.0
000000010 010000.0  032772 000320.0 00080 001228 012.3 000.0  016388 000160.0 00040 001206 012.1 000.0  008196 000080.0 00020 001545 015.4 000.0  004100 000040.0 00010 001190 011.9 000.0  002052 000020.0 00005 000255 002.5 000.0  001028 000010.0 00002 000255 002.5 000.0
000000012 008333.3  032772 000384.0 00096 001653 016.5 000.0  016388 000192.0 00048 001534 015.3 000.0  008196 000096.0 00024 001625 016.2 000.0  004100 000048.0 00012 001614 016.1 000.0  002052 000024.0 00006 000255 002.5 000.0  001028 000012.0 00003 000255 002.5 000.0
000000016 006250.0  032772 000512.1 00128 001943 019.4 000.0  016388 000256.1 00064 001491 014.9 000.0  008196 000128.1 00032 001963 019.6 000.0  004100 000064.1 00016 001917 019.2 000.0  002052 000032.1 00008 000531 005.3 000.0  001028 000016.1 00004 000255 002.5 000.0
000000020 005000.0  032772 000640.1 00160 001529 015.3 000.0  016388 000320.1 00080 001285 012.8 000.0  008196 000160.1 00040 001535 015.3 000.0  004100 000080.1 00020 001610 016.1 000.0  002052 000040.1 00010 000531 005.3 000.0  001028 000020.1 00005 000255 002.5 000.0
000000024 004166.7  032772 000768.1 00192 001413 014.1 000.0  016388 000384.1 00096 001282 012.8 000.0  008196 000192.1 00048 001492 014.9 000.0  004100 000096.1 00024 001707 017.1 000.0  002052 000048.1 00012 000566 005.7 000.0  001028 000024.1 00006 000255 002.5 000.0
000000032 003125.0  032772 001024.1 00256 001896 019.0 000.0  016388 000512.1 00128 001736 017.4 000.0  008196 000256.1 00064 001823 018.2 000.0  004100 000128.1 00032 001855 018.6 000.0  002052 000064.1 00016 000774 007.7 000.0  001028 000032.1 00008 000255 002.5 000.0
000000040 002500.0  032772 001280.2 00320 001714 017.1 000.0  016388 000640.2 00160 001559 015.6 000.0  008196 000320.2 00080 001868 018.7 000.0  004100 000160.2 00040 001797 018.0 000.0  002052 000080.2 00020 000687 006.9 000.0  001028 000040.2 00010 000274 002.7 000.0
